Team,Seed,Region,AdjEM,AdjO,AdjD,AdjT
Duke,1,EAST,38.85,127.9,89.1,65.4
Arizona,1,WEST,37.6,127.6,90,69.9
Michigan,1,MIDWEST,37.58,126.6,89,71
Florida,1,SOUTH,33.76,125.5,91.7,70.6
Houston,2,SOUTH,33.36,124.8,91.4,63.4
Iowa St.,2,MIDWEST,32.37,123.8,91.4,66.6
Illinois,3,SOUTH,32.1,131.1,99,65.6
Purdue,2,WEST,31.17,131.6,100.4,64.4
Michigan St.,3,EAST,28.3,123,94.7,66.1
Gonzaga,3,WEST,28.18,122,93.8,68.7
Connecticut,2,EAST,27.86,122,94.1,64.5
Vanderbilt,5,SOUTH,27.46,126.7,99.3,68.9
Virginia,3,MIDWEST,26.68,122.5,95.9,65.8
Nebraska,4,SOUTH,26.16,118.5,92.3,66.8
Arkansas,4,WEST,26.01,127.6,101.6,71.1
Tennessee,6,MIDWEST,25.97,121,95,65
St. John's,5,EAST,25.88,120,94.1,69.6
Alabama,4,MIDWEST,25.67,129,103.3,73.2
Louisville,6,EAST,25.31,123.9,98.6,69.7
Texas Tech,5,MIDWEST,25.17,125,99.8,66.2
Kansas,4,EAST,24.4,118.3,93.9,67.7
Wisconsin,5,WEST,23.39,125.3,101.9,68.8
BYU,6,WEST,23.23,125.4,102.2,70
Saint Mary's,7,SOUTH,23.15,120.3,97.2,65.2
Iowa,9,SOUTH,22.44,121.7,99.3,63.1
Ohio St.,8,EAST,22.23,124.3,102,66.1
UCLA,7,EAST,21.67,123.7,102,64.7
Kentucky,7,MIDWEST,21.44,120.5,99,68.4
Utah St.,9,WEST,20.87,122.2,101.3,67.7
North Carolina,6,SOUTH,20.79,121.3,100.5,68
Miami FL,7,WEST,20.64,121.3,100.7,67.6
Georgia,8,MIDWEST,20.45,124.7,104.2,71.5
Villanova,8,WEST,19.97,120.3,100.4,65.3
Santa Clara,10,MIDWEST,19.51,123.7,104.1,69.2
Clemson,8,SOUTH,19.19,116.5,97.3,64.3
Texas,11,WEST,19.12,124.1,105,66.9
Texas A&M,10,SOUTH,18.61,119.7,101.1,70.5
Saint Louis,9,MIDWEST,18.57,119.5,100.9,71.1
TCU,9,EAST,17.53,115.3,97.8,67.7
VCU,11,SOUTH,17.44,119.9,102.5,68.6
South Florida,11,EAST,16.37,117.3,100.9,71.5
Missouri,10,WEST,15.38,119.5,104.1,66.2
UCF,10,EAST,14.99,120.4,105.4,69.3
Akron,12,MIDWEST,12.76,118.8,106.1,70.3
McNeese,12,SOUTH,12.52,114.3,101.8,66.2
Northern Iowa,12,EAST,11.57,109.8,98.3,62.3
Hofstra,13,MIDWEST,9.54,114.6,105,64.8
Miami OH,11,MIDWEST,9.3,117.7,108.4,69.8
High Point,12,WEST,8.4,117,108.6,70
Cal Baptist,13,EAST,5.91,107.8,101.9,65.9
Hawaii,13,WEST,5.86,107.1,101.2,69.7
North Dakota St.,14,EAST,4.94,111.6,106.7,66.4
Wright St.,14,MIDWEST,2.06,112,110,67.2
Troy,13,SOUTH,1.79,110.7,108.9,65
Idaho,15,SOUTH,1.45,108.7,107.3,67.8
Penn,14,SOUTH,1.36,107.3,106,69.1
Kennesaw St.,14,WEST,0.64,110.6,110,71.2
Queens,15,WEST,-1.42,115.7,117.2,69.7
Tennessee St.,15,MIDWEST,-1.83,109.1,110.9,70.3
Furman,15,EAST,-1.94,107.5,109.4,65.9
Siena,16,EAST,-2.14,107.1,109.2,64.7
Howard,16,MIDWEST,-2.88,104.1,107,69.1
LIU,16,WEST,-3.96,105.6,109.6,67.9
Prairie View A&M,16,SOUTH,-9.88,101.2,111,70.8
